	chembl_tid	entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name	#mmp	#mms	machine1	machine2
81	CHEMBL1983	P28221	5HT1D_HUMAN	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin 1D alpha receptor) (5-HT-1D-alpha) (Serotonin receptor 1D)	G-protein coupled receptor 1 family	Homo sapiens (Human)		HTR1D	G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; serotonin binding [GO:0051378]	5-hydroxytryptamine receptor 1D	169	29	False	True
82	CHEMBL1741186	P51449	RORG_HUMAN	Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma)	Nuclear hormone receptor family, NR1 subfamily	Homo sapiens (Human)		RORC	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; ligand-activated transcription factor activity [GO:0098531]; nuclear receptor activity [GO:0004879]; oxysterol binding [GO:0008142]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]	Nuclear receptor ROR-gamma	168	7	True	False
83	CHEMBL1926488	P50336	PPOX_HUMAN	Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4)	Protoporphyrinogen/coproporphyrinogen oxidase family, Protoporphyrinogen oxidase subfamily	Homo sapiens (Human)	1.3.3.4	PPOX	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]; oxygen-dependent protoporphyrinogen oxidase activity [GO:0004729]	Protoporphyrinogen oxidase	166	16	False	True
84	CHEMBL2971	O60674	JAK2_HUMAN	Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2)	Protein kinase superfamily, Tyr protein kinase family, JAK subfamily	Homo sapiens (Human)	2.7.10.2	JAK2	acetylcholine receptor binding [GO:0033130]; ATP binding [GO:0005524]; growth hormone receptor binding [GO:0005131]; heme binding [GO:0020037]; histone binding [GO:0042393]; histone kinase activity (H3-Y41 specific) [GO:0035401]; identical protein binding [GO:0042802]; insulin receptor substrate binding [GO:0043560]; interleukin-12 receptor binding [GO:0005143]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; peptide hormone receptor binding [GO:0051428]; phosphatidylinositol 3-kinase binding [GO:0043548]; protein C-terminus binding [GO:0008022]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein tyrosine kinase activity [GO:0004713]; SH2 domain binding [GO:0042169]; signaling receptor binding [GO:0005102]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; type 1 angiotensin receptor binding [GO:0031702]	Tyrosine-protein kinase JAK2	160	20	True	False
85	CHEMBL4792	O43614	OX2R_HUMAN	Orexin receptor type 2 (Ox-2-R) (Ox2-R) (Ox2R) (Hypocretin receptor type 2)	G-protein coupled receptor 1 family	Homo sapiens (Human)		HCRTR2	G protein-coupled receptor activity [GO:0004930]; neuropeptide receptor activity [GO:0008188]; orexin receptor activity [GO:0016499]; peptide hormone binding [GO:0017046]	Orexin receptor type 2	159	21	False	True
86	CHEMBL4005	P42336	PK3CA_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide 3-kinase alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	PI3/PI4-kinase family	Homo sapiens (Human)	2.7.1.137; 2.7.1.153; 2.7.11.1	PIK3CA	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; insulin receptor substrate binding [GO:0043560]; kinase activity [GO:0016301]; phosphatidylinositol-3,4-bisphosphate 5-kinase activity [GO:0052812]; phosphatidylinositol 3-kinase activity [GO:0035004]; phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; phosphatidylinositol kinase activity [GO:0052742]; protein kinase activator activity [GO:0030295]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	155	40	True	False
87	CHEMBL3553	P29597	TYK2_HUMAN	Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)	Protein kinase superfamily, Tyr protein kinase family, JAK subfamily	Homo sapiens (Human)	2.7.10.2	TYK2	ATP binding [GO:0005524]; growth hormone receptor binding [GO:0005131]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; type 1 angiotensin receptor binding [GO:0031702]	Non-receptor tyrosine-protein kinase TYK2	155	9	False	True
88	CHEMBL5023	Q00987	MDM2_HUMAN	E3 ubiquitin-protein ligase Mdm2 (EC 2.3.2.27) (Double minute 2 protein) (Hdm2) (Oncoprotein Mdm2) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2)	MDM2/MDM4 family	Homo sapiens (Human)	2.3.2.27	MDM2	5S rRNA binding [GO:0008097]; disordered domain specific binding [GO:0097718]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; ligase activity [GO:0016874]; NEDD8 ligase activity [GO:0061663]; p53 binding [GO:0002039]; peroxisome proliferator activated receptor binding [GO:0042975]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; receptor serine/threonine kinase binding [GO:0033612]; ribonucleoprotein complex binding [GO:0043021]; SUMO transferase activity [GO:0019789]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	E3 ubiquitin-protein ligase Mdm2	151	20	True	False
89	CHEMBL3351218	O43598	DNPH1_HUMAN	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 (EC 3.2.2.-) (c-Myc-responsive protein RCL)	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 family	Homo sapiens (Human)	3.2.2.-	DNPH1	deoxyribonucleoside 5'-monophosphate N-glycosidase activity [GO:0070694]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	149	2	False	True
90	CHEMBL1898	P28222	5HT1B_HUMAN	5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (S12) (Serotonin 1D beta receptor) (5-HT-1D-beta) (Serotonin receptor 1B)	G-protein coupled receptor 1 family	Homo sapiens (Human)		HTR1B	G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; serotonin binding [GO:0051378]; voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels [GO:0099626]	5-hydroxytryptamine receptor 1B	148	29	True	False
91	CHEMBL1889	P37288	V1AR_HUMAN	Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor)	G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily	Homo sapiens (Human)		AVPR1A	G protein-coupled receptor activity [GO:0004930]; peptide binding [GO:0042277]; peptide hormone binding [GO:0017046]; protein kinase C binding [GO:0005080]; V1A vasopressin receptor binding [GO:0031894]; vasopressin receptor activity [GO:0005000]	Vasopressin V1a receptor	146	7	False	True
92	CHEMBL333	P08253	MMP2_HUMAN	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	Peptidase M10A family	Homo sapiens (Human)	3.4.24.24	MMP2	endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]	72 kDa type IV collagenase	144	14	True	False
93	CHEMBL5407	Q86V86	PIM3_HUMAN	Serine/threonine-protein kinase pim-3 (EC 2.7.11.1)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily	Homo sapiens (Human)	2.7.11.1	PIM3	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Serine/threonine-protein kinase pim-3	142	25	False	True
94	CHEMBL1163125	O60885	BRD4_HUMAN	Bromodomain-containing protein 4 (Protein HUNK1)		Homo sapiens (Human)		BRD4	chromatin binding [GO:0003682]; enzyme binding [GO:0019899]; lysine-acetylated histone binding [GO:0070577]; p53 binding [GO:0002039]; P-TEFb complex binding [GO:0106140]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; RNA polymerase II C-terminal domain binding [GO:0099122]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]	Bromodomain-containing protein 4	141	25	True	False
95	CHEMBL216	P11229	ACM1_HUMAN	Muscarinic acetylcholine receptor M1	G-protein coupled receptor 1 family, Muscarinic acetylcholine receptor subfamily, CHRM1 sub-subfamily	Homo sapiens (Human)		CHRM1	G protein-coupled acetylcholine receptor activity [GO:0016907]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential [GO:0099529]; phosphatidylinositol phospholipase C activity [GO:0004435]	Muscarinic acetylcholine receptor M1	141	9	False	True
96	CHEMBL5113	O43613	OX1R_HUMAN	Orexin/Hypocretin receptor type 1 (Hypocretin receptor type 1) (Orexin receptor type 1) (Ox-1-R) (Ox1-R) (Ox1R)	G-protein coupled receptor 1 family	Homo sapiens (Human)		HCRTR1	G protein-coupled receptor activity [GO:0004930]; orexin receptor activity [GO:0016499]; peptide hormone binding [GO:0017046]	Orexin/Hypocretin receptor type 1	139	19	True	False
97	CHEMBL1764940	P27694	RFA1_HUMAN	Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein) [Cleaved into: Replication protein A 70 kDa DNA-binding subunit, N-terminally processed]	Replication factor A protein 1 family	Homo sapiens (Human)		RPA1	damaged DNA binding [GO:0003684]; G-rich strand telomeric DNA binding [GO:0098505]; metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]; single-stranded telomeric DNA binding [GO:0043047]	Replication protein A 70 kDa DNA-binding subunit	136	7	False	True
98	CHEMBL3018	Q9Y5Y6	ST14_HUMAN	Suppressor of tumorigenicity 14 protein (EC 3.4.21.109) (Matriptase) (Membrane-type serine protease 1) (MT-SP1) (Prostamin) (Serine protease 14) (Serine protease TADG-15) (Tumor-associated differentially-expressed gene 15 protein)	Peptidase S1 family	Homo sapiens (Human)	3.4.21.109	ST14	serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]	Suppressor of tumorigenicity 14 protein	135	16	True	False
99	CHEMBL4482	O96013	PAK4_HUMAN	Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4)	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Homo sapiens (Human)	2.7.11.1	PAK4	ATP binding [GO:0005524]; cadherin binding involved in cell-cell adhesion [GO:0098641]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Serine/threonine-protein kinase PAK 4	129	11	False	True
100	CHEMBL1795117	Q8TEK3	DOT1L_HUMAN	Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (DOT1-like protein) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Lysine N-methyltransferase 4)	Class I-like SAM-binding methyltransferase superfamily, DOT1 family	Homo sapiens (Human)	2.1.1.360	DOT1L	DNA binding [GO:0003677]; histone-lysine N-methyltransferase activity [GO:0018024]; histone methyltransferase activity [GO:0042054]; histone methyltransferase activity (H3-K79 specific) [GO:0031151]; transcription factor binding [GO:0008134]	Histone-lysine N-methyltransferase, H3 lysine-79 specific	129	6	True	False
101	CHEMBL223	P25100	ADA1D_HUMAN	Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor) (Alpha-adrenergic receptor 1a)	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1D sub-subfamily	Homo sapiens (Human)		ADRA1D	alpha1-adrenergic receptor activity [GO:0004937]; G protein-coupled receptor activity [GO:0004930]; identical protein binding [GO:0042802]	Alpha-1D adrenergic receptor	128	11	False	True
102	CHEMBL202	P00374	DYR_HUMAN	Dihydrofolate reductase (EC 1.5.1.3)	Dihydrofolate reductase family	Homo sapiens (Human)	1.5.1.3	DHFR	dihydrofolate reductase activity [GO:0004146]; drug binding [GO:0008144]; folic acid binding [GO:0005542]; methotrexate binding [GO:0051870]; mRNA binding [GO:0003729]; NADP binding [GO:0050661]; NADPH binding [GO:0070402]; sequence-specific mRNA binding [GO:1990825]; translation repressor activity, mRNA regulatory element binding [GO:0000900]	Dihydrofolate reductase	121	35	True	False
103	CHEMBL2409	P34913	HYES_HUMAN	Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 (CEH) (EC 3.3.2.10) (Epoxide hydratase) (Soluble epoxide hydrolase) (SEH); Lipid-phosphate phosphatase (EC 3.1.3.76)]	AB hydrolase superfamily, Epoxide hydrolase family	Homo sapiens (Human)	3.3.2.10; 3.1.3.76	EPHX2	10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity [GO:0033885]; epoxide hydrolase activity [GO:0004301]; hydrolase activity [GO:0016787]; lipid phosphatase activity [GO:0042577]; lysophosphatidic acid phosphatase activity [GO:0052642]; magnesium ion binding [GO:0000287]; phosphatase activity [GO:0016791]; protein homodimerization activity [GO:0042803]; toxic substance binding [GO:0015643]	Bifunctional epoxide hydrolase 2	121	2	False	True
104	CHEMBL3798	Q16602	CALRL_HUMAN	Calcitonin gene-related peptide type 1 receptor (CGRP type 1 receptor) (Calcitonin receptor-like receptor)	G-protein coupled receptor 2 family	Homo sapiens (Human)		CALCRL	adrenomedullin binding [GO:1990409]; adrenomedullin receptor activity [GO:0001605]; calcitonin gene-related peptide receptor activity [GO:0001635]; calcitonin receptor activity [GO:0004948]; G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]	Calcitonin gene-related peptide type 1 receptor	120	14	True	False
105	CHEMBL235	P37231	PPARG_HUMAN	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	Nuclear hormone receptor family, NR1 subfamily	Homo sapiens (Human)		PPARG	alpha-actinin binding [GO:0051393]; arachidonic acid binding [GO:0050544]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA binding domain binding [GO:0050692]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; double-stranded DNA binding [GO:0003690]; E-box binding [GO:0070888]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; LBD domain binding [GO:0050693]; nuclear receptor activity [GO:0004879]; peptide binding [GO:0042277]; prostaglandin receptor activity [GO:0004955]; protein C-terminus binding [GO:0008022]; protein self-association [GO:0043621]; retinoid X receptor binding [GO:0046965]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; STAT family protein binding [GO:0097677]; transcription cis-regulatory region binding [GO:0000976]; transcription factor binding [GO:0008134]; zinc ion binding [GO:0008270]	Peroxisome proliferator-activated receptor gamma	119	11	False	True
106	CHEMBL3922	P50579	MAP2_HUMAN	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Initiation factor 2-associated 67 kDa glycoprotein) (p67) (p67eIF2) (Peptidase M)	Peptidase M24A family, Methionine aminopeptidase eukaryotic type 2 subfamily	Homo sapiens (Human)	3.4.11.18	METAP2	aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]; metalloexopeptidase activity [GO:0008235]; RNA binding [GO:0003723]	Methionine aminopeptidase 2	117	8	True	False
107	CHEMBL2079846	Q07889	SOS1_HUMAN	Son of sevenless homolog 1 (SOS-1)		Homo sapiens (Human)		SOS1	DNA binding [GO:0003677]; GTPase activator activity [GO:0005096]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein heterodimerization activity [GO:0046982]; SH3 domain binding [GO:0017124]	Son of sevenless homolog 1	114	3	False	True
108	CHEMBL2056	P21728	DRD1_HUMAN	D(1A) dopamine receptor (Dopamine D1 receptor)	G-protein coupled receptor 1 family	Homo sapiens (Human)		DRD1	dopamine binding [GO:0035240]; dopamine neurotransmitter receptor activity [GO:0004952]; dopamine neurotransmitter receptor activity, coupled via Gs [GO:0001588]; G protein-coupled receptor activity [GO:0004930]	D(1A) dopamine receptor	113	24	True	False
109	CHEMBL211	P08172	ACM2_HUMAN	Muscarinic acetylcholine receptor M2	G-protein coupled receptor 1 family, Muscarinic acetylcholine receptor subfamily, CHRM2 sub-subfamily	Homo sapiens (Human)		CHRM2	arrestin family protein binding [GO:1990763]; G protein-coupled acetylcholine receptor activity [GO:0016907]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]	Muscarinic acetylcholine receptor M2	112	5	False	True
110	CHEMBL2028	P32745	SSR3_HUMAN	Somatostatin receptor type 3 (SS-3-R) (SS3-R) (SS3R) (SSR-28)	G-protein coupled receptor 1 family	Homo sapiens (Human)		SSTR3	G protein-coupled receptor activity [GO:0004930]; neuropeptide binding [GO:0042923]; peptide binding [GO:0042277]; signaling receptor binding [GO:0005102]; somatostatin receptor activity [GO:0004994]	Somatostatin receptor type 3	108	8	True	False
111	CHEMBL4235	P28845	DHI1_HUMAN	Corticosteroid 11-beta-dehydrogenase isozyme 1 (EC 1.1.1.146) (11-beta-hydroxysteroid dehydrogenase 1) (11-DH) (11-beta-HSD1) (Short chain dehydrogenase/reductase family 26C member 1)	Short-chain dehydrogenases/reductases (SDR) family	Homo sapiens (Human)	1.1.1.146	HSD11B1	11-beta-hydroxysteroid dehydrogenase (NADP+) activity [GO:0070524]; 11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity [GO:0003845]; NADP binding [GO:0050661]; protein homodimerization activity [GO:0042803]; steroid binding [GO:0005496]	Corticosteroid 11-beta-dehydrogenase isozyme 1	107	4	False	True
112	CHEMBL5366	Q9UGN5	PARP2_HUMAN	Poly [ADP-ribose] polymerase 2 (PARP-2) (hPARP-2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 2) (ARTD2) (DNA ADP-ribosyltransferase PARP2) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (pADPRT-2) (Protein poly-ADP-ribosyltransferase PARP2) (EC 2.4.2.-)	ARTD/PARP family	Homo sapiens (Human)	2.4.2.30; 2.4.2.-	PARP2	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD DNA ADP-ribosyltransferase activity [GO:0140294]; nucleosome binding [GO:0031491]; protein ADP-ribosylase activity [GO:1990404]	Poly [ADP-ribose] polymerase 2	104	4	True	False
113	CHEMBL1914	P06276	CHLE_HUMAN	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	Type-B carboxylesterase/lipase family	Homo sapiens (Human)	3.1.1.8	BCHE	acetylcholinesterase activity [GO:0003990]; amyloid-beta binding [GO:0001540]; catalytic activity [GO:0003824]; choline binding [GO:0033265]; cholinesterase activity [GO:0004104]; enzyme binding [GO:0019899]; hydrolase activity, acting on ester bonds [GO:0016788]; identical protein binding [GO:0042802]	Cholinesterase	103	10	False	True
114	CHEMBL3706	P78536	ADA17_HUMAN	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)		Homo sapiens (Human)	3.4.24.86	ADAM17	endopeptidase activity [GO:0004175]; integrin binding [GO:0005178]; interleukin-6 receptor binding [GO:0005138]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; Notch binding [GO:0005112]; PDZ domain binding [GO:0030165]; peptidase activity [GO:0008233]; SH3 domain binding [GO:0017124]	Disintegrin and metalloproteinase domain-containing protein 17	102	17	True	False
115	CHEMBL3267	P48736	PK3CG_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)	PI3/PI4-kinase family	Homo sapiens (Human)	2.7.1.137; 2.7.1.153; 2.7.1.154; 2.7.11.1	PIK3CG	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; ephrin receptor binding [GO:0046875]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; phosphatidylinositol-3,4-bisphosphate 5-kinase activity [GO:0052812]; phosphatidylinositol 3-kinase activity [GO:0035004]; phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; phosphatidylinositol kinase activity [GO:0052742]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	98	15	False	True
116	CHEMBL321	P14780	MMP9_HUMAN	Matrix metalloproteinase-9 (MMP-9) (EC 3.4.24.35) (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B) (GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9]	Peptidase M10A family	Homo sapiens (Human)	3.4.24.35	MMP9	collagen binding [GO:0005518]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]	Matrix metalloproteinase-9	95	20	True	False
117	CHEMBL3231	Q13464	ROCK1_HUMAN	Rho-associated protein kinase 1 (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-35) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p160 ROCK-1) (p160ROCK)	Protein kinase superfamily, AGC Ser/Thr protein kinase family	Homo sapiens (Human)	2.7.11.1	ROCK1	aspartic-type endopeptidase inhibitor activity [GO:0019828]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; small GTPase binding [GO:0031267]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]	Rho-associated protein kinase 1	93	13	False	True
118	CHEMBL1790	P30518	V2R_HUMAN	Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor)	G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily	Homo sapiens (Human)		AVPR2	G protein-coupled receptor activity [GO:0004930]; peptide binding [GO:0042277]; vasopressin receptor activity [GO:0005000]	Vasopressin V2 receptor	91	6	True	False
119	CHEMBL4361	Q07820	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1 (Bcl-2-like protein 3) (Bcl2-L-3) (Bcl-2-related protein EAT/mcl1) (mcl1/EAT)	Bcl-2 family	Homo sapiens (Human)		MCL1	BH3 domain binding [GO:0051434]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein transmembrane transporter activity [GO:0008320]	Induced myeloid leukemia cell differentiation protein Mcl-1	90	18	False	True
120	CHEMBL1946	P49286	MTR1B_HUMAN	Melatonin receptor type 1B (Mel-1B-R) (Mel1b receptor)	G-protein coupled receptor 1 family	Homo sapiens (Human)		MTNR1B	G protein-coupled receptor activity [GO:0004930]; melatonin receptor activity [GO:0008502]	Melatonin receptor type 1B	88	7	True	False
121	CHEMBL239	Q07869	PPARA_HUMAN	Peroxisome proliferator-activated receptor alpha (PPAR-alpha) (Nuclear receptor subfamily 1 group C member 1)	Nuclear hormone receptor family, NR1 subfamily	Homo sapiens (Human)		PPARA	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; drug binding [GO:0008144]; lipid binding [GO:0008289]; MDM2/MDM4 family protein binding [GO:0097371]; NFAT protein binding [GO:0051525]; nuclear receptor activity [GO:0004879]; phosphatase binding [GO:0019902]; protein-containing complex binding [GO:0044877]; protein domain specific binding [GO:0019904]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; transcription coactivator binding [GO:0001223]; transcription factor binding [GO:0008134]; ubiquitin conjugating enzyme binding [GO:0031624]; zinc ion binding [GO:0008270]	Peroxisome proliferator-activated receptor alpha	88	8	False	True
